imf_id,year,of_totales,depart,cart_prom,gast_prov,cartmor_cartbrut,prov_cartmor,gast_tot_p_prest,prod_personal,cost_rec_fin,roa,depend,antig
1,2005,48,8,11257.5,7.378182888,14.89999962,47.36292267,14.4553957,21698.07617,3.296844721,0.054272447,138.5426636,0.033333335
1,2006,47,8,11701.5,10.38703823,18.11000061,53.13075638,12.4546423,12878.24414,3.817323685,-3.46938777,280.384613,0.033333335
1,2007,44,8,10925,9.785847664,15.97999954,56.84153748,11.27438736,13141.47266,3.322746038,1.305439353,214.8936157,0.033333335
2,2005,14,2,5584.5,3.483681679,3.420000076,237.5,73.13691711,5006.521973,3.549209595,0.119681649,22.11011887,0.037037037
2,2006,16,3,5874.5,3.097696543,5.960000038,278.5714417,59.67628479,4768.518555,4.016874313,0.089285716,25.62729073,0.037037037
2,2007,15,4,6612.5,2.17893219,3.069999933,186.419754,53.79104614,5160,4.225462914,0.353588939,25.49789619,0.037037037
3,2005,30,5,12109,4.040020466,0.409999996,966.666687,5.036282539,23145,4.996267319,11.01546669,3.600823164,0.142857149
3,2006,34,8,19488,3.002070427,0.730000019,414.2857056,5.524961948,27814.72656,6.341678143,8.051544189,4.742719173,0.142857149
3,2007,40,8,23420.5,3.267531872,1.049999952,309.2000122,5.578762054,26640.96289,6.221986294,9.254934311,3.486945868,0.142857149
4,2005,19,1,10779.5,5.790646076,1.519999981,365.625,6.226246357,21179.83203,0,10.48291206,0,0.05882353
4,2006,25,3,13233,5.173255444,1.24000001,433.9181213,6.4940238,18255.76953,1.095556855,13.10713482,0,0.05882353
4,2007,27,5,15947.5,5.025068283,1.049999952,501.1363525,5.868201733,19950,4.488367081,10.9271431,0,0.05882353
5,2005,74,7,17931.5,5.636433601,5.139999866,144.9152527,19.24542809,8949.173828,4.473926067,1.975948811,92.04666138,0.045454547
5,2006,83,7,10071,47.65343094,3.960000038,126.74897,21.50788689,7695.571777,5.072463989,2.341005087,93.99234772,0.045454547
5,2007,85,7,11914,4.18018198,4.110000134,123.481781,20.81623268,7565.248047,4.950818062,1.378443837,12.56798458,0.045454547
6,2005,6,5,1322,46.32929611,31.87000084,100.619194,4.594127655,22655.55469,5.120910168,0,124.2866592,0.047619049
6,2006,6,5,1431,43.1802597,30.68000031,366.2790833,6.195869446,22680.76953,4.947916508,7.390418053,113.228157,0.047619049
6,2007,6,5,1543,36.63183594,27.36000061,317.0212708,6.552608967,21158.92773,3.841807842,8.350444794,82.47512054,0.047619049
7,2005,7,4,2119.5,1.319043636,0.349999994,400,5.869953156,15379.6875,1.53727901,17.78334427,45.65376282,0.142857149
7,2006,10,4,2821.5,1.771837115,1.179999948,154.0540466,4.765043736,15260,3.640851498,15.15711689,34.85653687,0.142857149
7,2007,12,4,3681,2.89505434,2.460000038,121.2121201,5.844535351,16373.91309,3.763194084,9.723020554,34.13246536,0.142857149
8,2005,17,5,5724,5.160531044,7.46999979,74.15458679,13.75266552,11549.20605,0.941545725,0.748044908,20.16514587,0.07692308
8,2006,17,5,6063,8.224057198,6.519999981,163.8709717,13.37438393,11830,0.962419808,0.247476399,7.470746994,0.07692308
8,2007,18,5,6311,7.835531235,7.400000095,133.9522552,11.83013153,12515.44141,4.825879574,2.432449341,7.160595894,0.07692308
9,2005,3,1,3668.5,2.170160294,2.619999886,87.12871552,15.53133488,12002.70313,5.398822784,5.480104923,3.735787868,0.071428575
9,2006,3,1,4695,2.399250269,2.640000105,95.52238464,18.04602432,9923.469727,6.826683521,5.85581255,4.085422516,0.071428575
9,2007,6,1,6461,2.293396711,2.779999971,82.85713959,18.90382004,9336.290039,7.615987778,4.056367874,0.967159092,0.071428575
10,2005,3,3,4402,4.520089149,4.210000038,105.194809,54.24501419,12779.5459,4.480750561,1.800596118,38.59315491,0.100000001
10,2006,6,4,3767,4,2.400000095,164.5833282,35.9352684,7140.740723,4.043905258,3.220350504,48.10126495,0.100000001
10,2007,10,7,4464,4.017677784,3.25999999,120.481926,29.63315773,6000,4.029130936,6.280378819,12.80055714,0.100000001
11,2005,1,1,474,10.95617485,0.839999974,1375,7.225691319,7183.333496,0,4.498594284,0,0.07692308
11,2006,1,1,550,13.21070194,0.319999993,3950,8.39024353,7346.875,1.684210539,7.148659706,0,0.07692308
11,2007,1,1,687.5,10.55341053,3.680000067,292.8571472,6.615598679,8331.25,2.318840504,5.989583492,0,0.07692308
12,2005,39,8,8825.5,3.641768932,0.610000014,576.4705811,3.143357515,15566.5293,2.838892937,17.00414848,0,0.05882353
12,2006,48,8,11879.5,5.271258354,1.350000024,370.2702637,3.677165031,15233.29688,4.481865406,4.826981068,49.32808304,0.05882353
12,2007,56,8,14386.5,3.416149139,1.700000048,196,4.016847134,14906.93457,5.319485188,7.11366272,41.74494171,0.05882353
13,2005,10,5,2839,22.40982437,16.98999977,112.9593811,38.7612381,9236.956055,5.190729141,1.187491775,-195.6204376,0.055555556
13,2006,12,5,2390.5,23.90804672,16.11000061,125.6038666,38.77777863,5002.631348,5.02156496,3.65551424,226.1603394,0.055555556
13,2007,12,5,2039.5,10.50420189,9.319999695,107.5268784,40.18743134,4755.263184,4.775022984,-0.996050119,346.8085022,0.055555556
14,2005,34,6,115617.5,4.220189095,2.960000038,138.8253632,25.26470566,13227.11133,4.815896988,3.546155691,0.808463931,0.0625
14,2006,48,6,142903.5,4.464751244,3.140000105,137.584671,25.69518089,10594.05176,4.584154606,2.985562325,0.783239663,0.0625
14,2007,49,7,183253.5,2.099072695,0.99000001,215.1829834,41.01229858,9329.166992,4.709198952,3.874197006,8.374271393,0.0625
15,2005,37,7,128686.5,2.143063784,1.679999948,126.6693802,32.3794136,8704.135742,4.778533936,1.143336892,2.260717869,0.07692308
15,2006,38,7,167111,1.93064487,1.529999971,126.1666107,37.16069794,6433.262695,5.317090034,1.588891506,10.23432541,0.07692308
15,2007,42,7,229536,1.679900408,1.190000057,148.5265198,40.58901978,6429.73877,5.805366516,1.628320694,1.338986158,0.07692308
16,2005,37,7,62260.5,3.592249155,1.590000033,242.3220978,21.4919281,11645.28516,5.185441017,3.661794662,11.32851696,0.100000001
16,2006,54,8,85425.5,3.977451086,1.5,279.9145203,24.74866486,7258.666016,5.275814056,2.498069286,1.001960397,0.100000001
16,2007,72,9,128545,2.91503191,0.790000021,385.4636536,27.86569977,6825.071289,4.932923317,2.644910812,19.17194939,0.100000001
17,2005,75,9,97377.5,2.092389345,2.049999952,105.3803329,30.1270504,8059.768555,9.571878433,2.418183327,0.311290205,0.125
17,2006,90,9,121867.5,2.030321598,1.840000033,127.272728,36.60746384,6266.837891,8.488934517,2.402693987,4.157381535,0.125
17,2007,93,9,151004,1.48330605,0.889999986,196.2727966,38.65479279,6003.460938,4.859382629,2.206417561,31.67886734,0.125
18,2005,6,6,16137,4.136371136,2.329999924,300,23.87148094,11917.75684,5.537240982,1.272296429,12.12361336,0.100000001
18,2006,13,7,21017,3.741424084,2.289999962,228.6458282,25.7491684,9039.344727,5.713327408,1.870380044,3.327338219,0.100000001
18,2007,18,7,28105,2.846410036,1.470000029,258.1717529,40.61779404,6414.483887,5.784848213,2.027440071,9.102061272,0.100000001
19,2005,5,2,9377.5,3.011304379,1.860000014,241.984726,28.46146393,3829.449219,5.399459362,0.198333994,0,0.083333336
19,2006,6,2,11732,3.037798643,1.620000005,239.63414,40.14329529,4177.311035,5.350231171,-2.53652668,44.00349045,0.083333336
19,2007,10,2,17757.5,1.302152514,0.059999999,2261.538574,47.7904129,4644.845215,12.4623661,2.09145546,0,0.083333336
20,2005,10,5,25263.5,3.519202471,3.5,125.2299576,132.342453,2245.486084,4.251347065,0.442800045,10.74850273,0.06666667
20,2006,10,5,29582,3.444084167,3.099999905,145.2036743,113.8024979,2146.132568,4.528980255,1.171280861,20.95849609,0.06666667
20,2007,12,5,34322.5,3.454500675,2.880000114,140.645874,106.4926376,2569.554443,4.774219513,1.562165618,30.35266876,0.06666667
21,2005,10,3,14634,3.814086676,4.739999771,101.82724,47.50365829,5900.537598,6.497158051,1.759309173,7.188467503,0.0625
21,2006,13,3,16956,2.965246677,2.720000029,141.0666656,49.63061523,5980.092773,7.123650074,2.948860645,6.929162502,0.0625
21,2007,13,3,19140.5,1.888361573,1.429999948,163.5593262,28.95102882,6996.23291,7.860445499,2.759239674,6.802256107,0.0625
